index,utt_transcript_clean,response_transcript_clean,is_cr
456529,why?,if I give you a wet rag?,0
166303,um.,wouldja like to play forty five?,0
165683,eat it?,whaddya got on your face frosting?,0
2132753,one.,do you know what this says?,0
336213,Daddy's going to come too.,"Daddy's going to come too, we're going to sit on the beach?",0
354387,yeah.,or that one?,0
2132216,put them on here?,do I wanna put them on there?,1
2186998,it came through.,pardon?,1
4276642,I think this guy can come in.,and go where?,0
2186798,collapse on the beanbag.,do you wanna see if there's something on the telly that you can watch?,0
2139612,no.,please?,0
2181604,gone wrong.,has it?,1
331598,"um, Mom?",mhm?,1
563379,yep.,you want baseball orange juice or do you want baseball um grape juice?,0
358188,a carousel.,a ferris wheel?,1
570269,this is not two.,"no, it looks like two though, doesn't it?",0
2156713,what with?,what with?,1
2127851,come away and gooed.,Winnie Ther Pooh went to the woods and what?,1
2155846,this is this is my pajama hat.,is it your pajama hat?,1
455686,"I'm painting all of the picture I'm painting all of the paper, is this, the finger paint dry?",does finger paint dry?,1
176976,Didi.,yeah?,0
4274169,yeah.,is it only when they go outside to play that you gotta put the fence up?,0
2207918,that was her nose.,did you hit her on the nose?,0
2180243,his grandma.,what's he shouting?,0
4238595,I don't know.,what are those?,0
2159011,yeah.,pardon?,1
2169813,yes.,lie down?,0
327520,ice.,isn't that neat?,
359442,"Mommy, I was.",and who does the giant squid like to fight with?,
2202016,all animals out.,do you think Amy would like to play with the eggs?,
2192218,"you can't touch this helicopter, you can't.",can't what?,
2142211,that's biggest.,do you wanna have a look at the animals?,
164889,piece?,on that track?,
565363,right here.,yeah?,
4245466,where does the lamb go?,where does the lamb go?,
2152582,I cut it up myself.,pardon?,
2133524,this is the train.,is it?,
334497,fuzz on Blankie.,what?,
4245048,moo moo moo moo moo.,what are these?,
2131967,yeah.,are they?,
2201128,this is the chimney.,is it?,
161117,I did it.,"okay, which one am I?",
2201365,we had something to eat at nursery.,nursery or playgroup?,
342895,what?,we're going to get a book for Ronnie right?,
2168358,don't wanna leave all day.,don't wanna what all day?,
2132425,it's very very hot.,pardon?,
573548,"mm, mm, this is good.","what's good, the raisins?",
449392,where does this go?,what the lips?,
570231,I want.,would you like cereal?,
2202071,you get the farm ready.,pardon?,
4270130,but one is from grandma Betty though.,is one pumpkin from grandma Betty or grandma Carol?,
331687,I'm on the coffee table.,you're on the coffee table?,
340828,what is he eating?,it looks like he's eating a lollie doesn't it?,
173702,look he's flying.,what is?,
505820,I just go to my office.,ooh what do yo do at your office?,
454278,why.,why do you think?,
2203376,because that's where they live.,in a field with the animals?,
346395,I think so.,you think Chuckie Cheese is a lion?,
356575,what's that?,what?,
185840,yeah.,wouldja like some wood?,
2180608,they blue.,they're both blue?,
4241954,no.,poppa doesn't have a barn?,
2199381,no.,what do you wanna play?,
331676,yeah.,what does a big Tyrannosaurus rex say?,
2152259,yes.,for Amy?,
2129395,are you doing silly things?,am I doing silly things?,
2178724,can you have that?,have the pram?,
4237376,where's where's he go?,who?,
508555,everything.,hm?,
358272,Mommy.,mhm?,
2209269,I'll help you.,shall I wait until you've finished that one?,
340365,I want that.,what?,
2188230,have some Ribena.,Ribena?,
2179733,no.,lazy Amy?,
2198978,this is our grandma's home.,is it?,
2136121,please he says.,does he?,
562198,it's not working!,"what do you mean it's not working, honey?",
325486,Mom?,yes Honey?,
2170896,okay?,can I have my green?,
354817,yeah it's for.,are you sure?,
170377,"nope, no no.",oh no we're not are we missing an arm?,
158054,chick.,"that's a bird, what does the bird say?",
168001,Mommy?,what?,
468529,help me.,where?,
327280,Jupiter.,what?,
331235,you didn't say the monkeys.,"you're right, where are the monkeys?",
452879,yeah.,"which which hand, both?",
2155484,I drawed mummy.,did you?,
466379,yeah.,are those toddler scissors like the ones you have had at home?,
2131734,what you doing?,what am I doing?,
4240606,there's no more.,what?,
573421,is that you?,"no, yeah is it?",
4239013,yeah.,well where's his firetruck?,
175511,then.,two circles?,
2202816,yes.,there?,
174966,no no.,would you like to do orange and green or orange and yellow?,
2205015,what was it was dreaming rabbit?,what what?,
505222,yeah.,choose another one?,
505652,I got it.,ooh animals in it?,
348807,yes.,really what does a princess do all day?,
511759,and the end.,what a good book huh?,
2215156,why?,"I've just told you, haven't I?",
2214628,that's not my baby Howie.,isn't it?,
4244509,oink oink oink.,what does the sheep say?,
2143257,I can't.,why not?,
460322,those are them.,"oh, what did he get?",
565536,where her?,"I don't know, where is her?",
336188,I throwed all the things into the pretend garbage.,you did?,
4236919,no he not.,what is that?,
355702,what is called?,do they live in Nebraska?,
169927,boo to.,would you like to read it again?,
4242886,maybe the moms and the dads can sleep up here.,you don't think the babies wanna sleep by the moms and the dads?,
2215039,yes.,what about this as well?,
2182807,I didn't do it again either.,you're doing it again?,
2132739,no.,what's wrong with that page?,
565004,I did.,shall I help you?,
169315,um what's that?,do you know what those are?,
2154894,no.,what do you want me to do with it?,
4268903,one's a chicken.,which one is the rooster?,
351634,ooh.,long puzzle?,
559791,it crashed.,"it crashed into the gate, huh?",
4277319,I guess.,and what's between your eyes and your mouth?,
2189789,it's blown away in the wind.,in the wind?,
2141939,yes.,like daddy?,
2127199,Ken.,pardon?,
4240004,this one have yellow hair.,how many does that make?,
2205105,hiding.,who's hiding?,
4273140,how.,what do you think these are?,
170597,"Mommy, upside down.",yes?,
174639,blue.,purple and blue hair?,
511878,box.,now what will we find?,
2187636,but when they've got some food.,do you think animals will wanna eat plastic containers?,
344576,we have to.,is this my school work?,
465420,yeah.,"hm, are you getting a little hungry maybe?",
157712,"what's that, Mommy?",what?,
176125,whoa whoa.,first of all what did I tell you about that?,
4241169,I'm over here.,where?,
2159499,shall we move somewhere else?,what?,
339495,no.,a picture of your hand can I trace your hand?,
4234676,yeah.,are those the only pieces that we have of fence?,
332918,um what does Daisy and cats like to eat?,what do dogs and cats like to eat?,
4238584,mouth.,what are these?,
4234327,get the pig.,the pig gets his own spot too huh?,
2175885,let me can I get some legs?,can you get some legs?,
458027,tree's going to be the treadmill.,the tree's going to be the treadmill at the veterinary hospital?,
2198001,because I don't want you to.,why not?,
4271997,yeah.,and firefighters don't live in nests?,
333964,yeah.,"that sounds good, huh?",
2136657,can you do it?,what?,
164250,no.,you find them?,
2143234,I'm not.,what're you doing?,
2153463,she has to sit there.,"she can sit on the sofa on the armchair, can't she?",
2160778,it's her birthday.,is it?,
4268154,yeah.,oh yeah?,
354674,Mommy?,uh huh?,
507785,now can you read this one?,ooh what's this book called?,
2214318,you can't have a picnic with us.,why not?,
509498,e e.,what is it?,
2130192,captain.,captain?,
2127674,I want I wanna get dressed.,do you?,
559749,this old MacDonald.,what's your favorite favorite favorite car?,
2187116,can you give me those?,pardon?,
4243777,yeah.,what do I do with a threader?,
4236922,I don't know.,are those are those his eyebrows?,
332002,um I do.,you do who else does?,
2161744,I don't like them.,you don't like sausages?,
460404,"why I tear off this flap, Mommy?",why did you tear off this flap?,
459535,it it.,where are we taking him now?,
2208785,he cries.,Poor Peter cries?,
2133826,I'm kind.,you're what?,
350436,we havta eat.,whada you love to eat?,
2212420,perhaps perhaps perhaps we can do that.,perhaps what?,
2160057,there's one more chair left.,one more chair left?,
4238402,neigh.,what do the sheep sheep say?,
356743,mm what?,do you remember what it is?,
334022,a zuper one.,a super duper one?,
2144017,it's going to melt in my sleeve.,pardon?,
2171024,you haven't done that or this at all.,I haven't done that or this at all?,
2221008,"you're the elephant, mummy.",am I?,
346763,I'm three.,and do you have any cousins?,
2173294,I've ripped mine up.,have you?,
2205780,she did it wee on the sandpit.,she did or she didn't?,
349909,mhm.,and where didjou go when you were in New York?,
564011,because it's plane's fire truck.,because it's the plane's fire truck?,
183102,no.,please?,
2137534,why?,"lady went into the back of it, didn't she?",
172965,uh black.,no which which guy?,
2138403,monster there is monsters coming.,is there?,
330337,yeah.,there is?,
2169112,you have to lie down on it.,do you?,
452658,what's happening?,can you leave that there please?,
342999,mama?,mhm?,
2166770,that looks like Ribena.,does it?,
2140642,where's daddy?,pardon?,
4270315,um we can put the pumpkins by um the daddy.,by the daddy?,
4235634,a turkey.,a turkey?,
350476,I didn't know that.,are you going to lie down on the new mattress when it gets here?,
185681,I see it.,do you see?,
463439,Daddy?,yes Baby?,
2189516,my baby's called Satto.,Sicko?,
4272962,except his blue thing.,what do you think the blue thing is?,
458048,yeah and real near a farm sometimes?,and what?,
2174357,yes.,why?,
2134937,can you do this one?,do you want me to sharpen another one?,
2197512,you get one of these and get that together.,put it together?,
2177162,stroke my horsie.,pardon?,
2212246,I know what we can play.,crayons?,
2154307,okay.,does that sound alright to you?,
2136811,do we do this yesterday?,what?,
183931,wanna make a sock Mommy wanna make a sock?,a what?,
2195950,you.,me?,
169016,Mommy?,yes?,
2137247,you have to.,why?,
459655,this is tummy yummy medicine.,tummy yummy medicine?,
2179865,they making tea.,the little boy and girl on the box?,
4235078,this is a girl.,what makes you say it's a girl?,
2171200,baby kittens.,baby kittens?,
2161095,I haven't got bubbly leg.,you haven't got bubbly what?,
2196759,the road's broken.,"do you wanna go in the box, Lara?",
169516,yes.,how do you eat your bananas in school?,
503133,yeah.,"ooh those are real bump, bump, bump, see?",
2128795,you Abi.,am I?,
510175,the lamp is outside.,you know who wants to go in the house?,
344337,mom?,yes honey?,
570068,no!,why you don't wanna speak nicely?,
4236911,I want to play farm.,can we give Mr Potato Head a tongue?,
174635,yes.,well you want wouldja like to give him two colors?,
508151,play dough?,you wanna get some Play Doh and try and make em?,
2208955,which one do you wanna do now?,"hey, Lara?",
448438,here.,"what's there, where is here?",
562738,I'm dropping.,pardon me?,
462054,because because he sees the person might eat him.,oh really?,
573393,letters right there.,"what's, what letter is that?",
2152781,yes.,what does that mean?,
2129478,I wanna with you.,you what?,
463744,why?,what kind of a creature is that?,
456294,I was looking for a.,was Daddy folding laundry today?,
4269305,momma?,uhhuh?,
167227,"no, duck!",does the duck say?,
566512,oh a turtle.,"oh, am I supposed to be a turtle too?",
350924,mom?,yes?,
564565,so how you doin'.,are you finished with this blanket?,
2180969,we will left you.,you'll leave me?,
332337,were you reading Mom?,was I reading?,
455106,yeah.,what words do you think it's hard to say?,
162703,this.,would you like to put on the purple shoes?,
2132748,can you read me story about Henrerina.,about Hen who?,
343951,nothing.,nothing at all?,
2150967,I wanna play.,do you?,
2125645,Annie Apple.,did you learn Hairy Hat Mann at nursery this week?,
2173777,I want a wee wee.,Polly Pocket wants a wee wee now?,
2221457,is that a fish?,"what's this, Amy?",
180275,a p.,d o g spells?,
181924,um this.,blue?,
2158858,please can we have some lovely chips?,can you have some lovely chips?,
4270394,mom?,what?,
4240953,um let's save someone here.,what are you making?,
2179796,yes.,are you still cold?,
4238046,mommy I want it to stand up.,would you like me to help you?,
2161699,the paint dropped off our wall.,the paint dropped off our wall?,
2154449,it's heavy.,"it is heavy because it's a big book, isn't it?",
2126095,can you do it?,again?,
2139473,it's a sharp knife.,is it?,
242917,open it open.,"it did open, didn't it?",
2142013,jumped.,uhhuh?,
4274724,hey.,should we play with Mrs Potato Head?,
4237134,there is the farm house.,is that the farm house?,
357485,gas.,oh really?,
4270372,and you know what?,what?,
4241979,now take a rest.,tickle you?,
2190316,risotto.,have you ever tried it?,
4272029,maybe she got lost in with the daddy the daddy chicken.,maybe she's off with the daddy chicken?,
2192891,I think another one's poorly.,do you?,
332232,nothing was costing too much because he split on his head.,oh my gosh is he standing on his head?,
2183056,do you know what I can do?,what?,
2141951,there.,is it nice and clean now?,
351822,please?,Lily we're not having another treat now okay?,
2140684,mummy?,are you eating this dinner or are you really just playing?,
467637,I'm store owner.,what else is in your bags?,
2142558,that's my our bricks.,whose bricks?,
2169169,no.,please?,
2147013,the the other baby's gone to bed.,has he?,
4241446,yeah.,they can't get down?,
2206861,pardon?,when I've had my lunch would you like to wash up?,
4238662,because these are too big.,you sure?,
2155007,big girl.,does she play with you?,
4272325,I don't want one.,you don't want one?,
2182408,you don't need anything else.,I don't need anything else?,
352820,well I have an idea.,yes?,
178021,that's egg.,"he started to look for some food, wait a minute did we skip a page?",
562453,is that three?,really?,
348258,me.,oh that's your microphone?,
464905,goes on the glass end.,why don't you pick out some clean clothes to wear today?,
165925,where are my chocolate?,I know but what do I get?,
2156269,mm.,bit more?,
171734,a sprinkle donut.,how about this one?,
332813,Play Doh is yucky.,really?,
349039,yeah.,what do you live in?,
4272695,hey look.,are there any eggs in there?,
2186896,you haven't got any dinner.,who?,
4276395,there's no.,there's no baby b there aren't any baby birds?,
4241381,oh what about the pig?,oh boy where's he going to go?,
2146751,I shall get cross.,doesn't she?,
4234107,now what do you want to play?,um do you think maybe we can come out into the yard now?,
357915,responsibility.,he doesn't know the responsibility?,
160759,over there!,"where, which one?",
509598,I got dog.,"no we didn't, did we have a dog before?",
4277428,right now.,right now?,
2203116,why did you need a bit there?,where?,
2144186,I am.,you are?,
341185,um maybe they're giving toys to little boys and little girls.,wow that's some state huh?,
326244,my microphone.,"there's your box, do you want me to get Ariel, baby Ariel?",
2219335,just I just say come on.,did you?,
2196677,haven't got any sizes.,you haven't got any sizes?,
2139839,it's waky time.,it's what?,
2169958,mhm mhm mhm.,where are we going this afternoon?,
572328,a cereal.,cereal?,
2220113,I'm getting three.,are you?,
359038,yeah.,you wanna name the teddy Sadiksha too?,
2198296,because I'm too little.,are you?,
349937,because I can't hold it.,why don't I hold one of your pieces of Pop Tarts until you finish the other one?,
572473,"swing now, watch out.","no, no no no no no no, easy swing in the house, right?",
2167807,I nearly cut my finger.,did you?,
2196518,it's shut.,"you don't have to, do you?",
4241337,chicken?,how about that?,
515568,yeah.,are you sure?,
2154322,pardon?,who's this?,
335096,look!,what am I looking at?,
2166739,I don't want them.,don't you?,
2212871,yes.,is it like a hoover?,
448519,why?,does it look like it's going to stay on the shelf to you?,
2131197,I'm done now.,you're what?,
4238105,what?,what do you think of that?,
346463,yeah.,yeah and how old are you going to be at your next birthday?,
2211381,I wanna go in there.,who says that?,
2176595,thank you.,do you want some more?,
347380,soon we're going to be out of it.,out of vanilla?,
2199706,some more please?,do you want a biscuit?,
2214087,sock.,do you wanna have a look for the sock sticker?,
563481,I'll hold your slipper.,you can hold my slipper?,
2205470,I need chair.,do you wanna get a plate then for her?,
2141271,this.,that one?,
339543,please.,and then wwhada you say when you get it?,
4243773,you can take my threader.,I can take your what?,
2139781,I don't want it.,don't you?,
333715,"uh, this.",what's this one called?,
2160253,I have the little one for that.,you have the what?,
4239834,and look a baby cow and a mommy cow.,is that a cow?,
2174347,he's poorly.,is he poorly?,
2134916,don't know.,"Sarah gave them to you for christmas, didn't she?",
2176124,yes.,you do?,
183748,no.,may I have this one?,
346795,mom?,yeah?,
2151434,no.,do you think it's going to rain?,
2212869,you're in here.,am I?,
4237511,what's I can't open.,you can't open it?,
2199634,do you know I said at nursery we said I said I don't want those currants.,did you?,
2148964,because it's made of bricks.,it's made of bricks?,
4244668,but what what what's my beach baby doing?,are they kissing?,
512871,the living bed.,will you ask Miss Megan if she has it?,
2166507,I want a balloon.,you want a balloon?,
2170640,I got them.,have you got them?,
504364,whose.,what do you think we should do today huh?,
573047,honking to me.,the fire truck there last night?,
508741,yeah.,you do?,
2165553,can you do it?,can I do it?,
2207642,I'm coloring nicely.,are you?,
573126,are going?,"yeah, I'm going to have to go honey, alright?",
2147623,she's done it.,has she?,
4239419,a hat for the lady.,a hat for the lady?,
2212283,I wanna say sorry.,do you?,
2158572,yummy yummy yummy.,what's the matter?,
2212636,this is shape.,"it's shape, is it?",
2197741,I nearly finished.,have you?,
510909,what?,is your lunch ready?,
573406,there.,"you're throwing it, what are you throwing it for?",
326113,boaty!,who's going to Fantasy Land tonight?,
2216473,I'm going to nick another one.,"you're a tinker then, aren't you?",
326504,twinkle twinkle.,you wanna sing row row row you boat?,
337692,and if you put an eye on him.,huh?,
2204708,I want go mad shopkeeper.,you wanna go mad?,
2187290,I can smell them.,can you?,
569619,that a watermelon!,what's this?,
336190,in here.,you did?,
2175230,can't really put them there.,why not?,
4244409,daddy.,mhm?,
508067,no.,did you get all muddy with the kids?,
2145671,I can't do it.,you can't do what?,
2150825,the sun goes in my eyes.,does it?,
2183565,don't like it.,why not?,
355075,Mommy?,uh huh?,
339001,mommy?,mhm?,
348899,who wants to play ball?,honey?,
2135690,why?,why what?,
4234388,that these where the horses go.,that's where the horses go?,
2128507,a horsie.,why doesn't he go in with the other horsie?,
161339,no.,why?,
564049,be a tunnel.,be a tunnel?,
335081,there's a stone wall!,a stone wall?,
2169144,it's in there.,is it?,
2172562,look what I did.,what did you do?,
2191418,can you make one of these?,make something for the tiger?,
2172217,I'm poorly.,you're poorly?,
2177961,no.,what's the matter then?,
4275271,Nana!,Nana?,
2189397,pardon?,do you wanna put these clothes on?,
2167746,animals like Bluetak.,"animals like it, do they?",
459561,all done Sleepy.,can I take that little piece of paper back?,
449812,mhm.,ready to go buy the yogurt with me?,
2139366,yes!,did you do me a picture?,
466643,yeah.,it doesn't have a name?,
2216605,you just stay there.,"you're not going out as well, are you, Lara?",
2126805,pardon?,shall we read another story or shall we wash the Sindy toys?,
4239826,yes.,where are the pigs?,
356484,"no, yes.",no yes?,
4242737,mhm.,do what do we do with pumpkins?,
4277342,they look funny.,they look funny?,
343017,mama?,mhm?,
4269472,Alaira and Clairba.,Alaira and Claira?,
2142054,no.,what?,
4238490,these.,what's those?,
2167826,come in.,who's this?,
333326,Daddy might taste.,Daddy likes chocolate cake?,
455434,"no, not the same ones.",not the same ones?,
2213786,Winnie Pooh.,shall we get that?,
2163152,can I have some sugar on it?,some sugar?,
2160223,where's Tigger gone?,where's who gone?,
513996,this one.,what's that?,
505822,"this goes do, do, do.",what kind of work do you do in your office?,
462751,is Claire here today?,is Claire here today?,
348241,it's.,you wanna sing the bumble bee song now?,
2173759,I did.,did you?,
562457,I can't find it.,you can't find it?,
350547,but I already have this to play with.,oh well then do you not need anything else to play with?,
176700,whoa Mom.,what?,
570314,yup.,like Curious George the monkey?,
336941,no.,what?,
2221605,I want I want all of you can.,all what?,
559751,what?,"this, do you like this guy now?",
2172510,I do.,"we're alright, aren't we?",
172281,please.,where's Laa Laa's bow?,
2174041,I'm going to put them on my beanbag.,pardon?,
466952,can I put it there?,you want me to be the farmer and I don't know about the oil spill?,
2135908,got a dirty nappie.,pardon?,
4241902,yes.,do they take care of the farm?,
2212772,can you help me lift it up?,where do you want it?,
2152945,some that.,some what?,
2126114,where's his jumper?,pardon?,
2133539,pardon?,is he gone yet?,
2207042,it's spuddywud.,"no he calls he calls this spuddywud, doesn't he?",
467350,no this way.,that way?,
343966,and I found one but now it's all gone.,really?,
513937,no.,no?,
2188819,I'm lying down.,"one of those we can't be bothered days, isn't it?",
2130922,there.,where's the letter Kicking King?,
566353,it fell down again.,it did?,
2142764,"you can help me now, mummy.",what shall I do?,
564156,yep.,how would you know?,
2204735,that's just what you buy and now it's horrible so I put it in there.,why is it horrible?,
328449,"um, the pink one.",which pink one?,
4269781,uhhuh.,they're going to capture them and put them in the fence?,
332785,every snow makes a scratchy snowball.,really?,
2166313,where's Amy's sock?,"where's your sock, Amy?",
4269222,yeah.,do you think they lost that part?,
2218157,what did you do?,pardon?,
2152676,and you've got some chocolate buttons in there as well.,do you like Easter?,
2148989,daddy pig?,yes?,
343419,mhm.,a lil back rub?,
4246076,baby.,where where would be a good place to put chickens?,
240637,maybe he can drive on there.,"Pooh looks like he is driving it, doesn't he?",
352447,I need something that that I need to that I need to scrub with and I can't and I can't scrub like um.,you want the feather duster to clean?,
4270737,yep.,do they like each other?,
2188372,yes.,"they don't, do they?",
2133146,don't know.,who do you think it is?,
346666,I think so.,Vermont?,
2156054,no.,do you wanna put it in the kitchen?,
341398,snip snip snip snip.,how does it look?,
2125073,bit more water.,bit more water?,
2178284,finished.,finished already?,
4271658,oh.,do you need some ears?,
466594,"before we play, before we do anything else.",and then we'll go down and have breakfast?,
332822,he's going to eat you.,the caterpillar's going to eat me?,
342486,mommy can you put them together?,mhm?,
467950,hey.,you mean like this?,
4243929,uhhuh.,do they?,
2146447,play with my my Polly Pocket.,with your Polly Pocket?,
2195410,I've got all of them.,have you?,
2186010,gone now.,do you know what I could do?,
341758,yup yup yup.,do you think grandma Rosie's going to read books to you?,
2168661,did you do it?,did I do what?,
465057,yeah.,they do?,
342192,nope.,hm no that's not the one?,
2184945,not that end.,the beginning do you mean?,
243355,the cat is going to eat his food.,"what does the cat want this time, sweetie?",
451590,it's in the duckling's tummy.,what do you think we should do?,
510746,it cold.,"what is, that thing?",
2163148,I'm the mummy.,mhm?,
2176954,she's frightened of it.,is she?,
161072,Wiggles.,would you like to sit in ya chair?,
573962,start.,who did you see juggling?,
2158262,I want I'm going to eat this all up.,pardon?,
2215272,yes.,do you promise?,
337946,yeah.,we didn't know if the dogs would be at auntie's house and I know you don't like the dogs right?,
2206974,and I.,what?,
4245278,his head turns too.,his head turns all the way around?,
175181,how about a little.,would you like to do some rolling?,
4243694,a.,a foal?,
331857,it's Nemo's.,"it's Nemo's, wow, he, he found the treasure?",
2187587,but I want something to eat in a in a waffle.,you want a waffle?,
511743,I think the kangaroo's going to win.,yeah?,
2154931,there's lots of things things in here.,pardon?,
2172345,would she like to go on my bike?,do you think she's big enough to go on your bike?,
2157106,can you do it up?,pardon?,
2143685,can I do it?,"you've had lots to eat, haven't you?",
242670,the orange one.,it was another orange one?,
4242067,because this is a fence.,who can't walk out?,
2164908,can you hold the lady?,what are you doing?,
166291,Mommy.,wouldja like to play with your math desk?,
327555,read another book.,okay wanna go pick out another book?,
350041,the sun.,the sun what's it doing?,
564484,I got boogers.,you have boogers?,
571579,bring this truck.,"can I what, sweetie?",
2126787,yes.,are they really?,
2138352,is that is that my new one?,your new what?,
333456,what's this?,Playdoh finger?,
2194593,have to put the cover over them.,the cover?,
182199,some more hairs.,are you going to put them on the floor?,
4239407,just the mouth too.,but isn't that where the nose is supposed to be?,
332383,no.,is that Marvin?,
514964,Grace.,you going to get all those eyes out?,
448453,why?,why don't they like to be eaten?,
2171286,we're going to play.,"we're going to play throwing things around, are we?",
357155,okay.,okay?,
355397,"oh, um, I don't know.",hm do you remember what it's called that funny hat?,
566329,this silly cat.,why is that a silly cat?,
572016,yeah.,like William?,
4274488,it's a duck.,it's a duck?,
2178009,yes.,shall we go and have a bath?,
2144269,old lady.,old lady?,
337385,yeah.,"yeah, doesn't it, is it all dried out?",
174240,in the floor.,Alex is?,
338820,you havta cut it.,really?,
2158575,that's all.,uhhuh?,
341839,it looks like daddy.,it looks like daddy?,
2212209,I'm in the cave now.,"you're in the cave now, are you?",
350586,what?,are they both plant eaters?,
4270722,right here.,well where?,
340296,what?,do you like beef stew?,
329442,no.,are you sure?,
2136301,mhm.,pardon?,
4246800,uh.,what if his sun is in his eyes?,
335016,but Mom I don't feel well.,really wanna sit on my lap?,
562923,"no, this.","oh I'm wanna talk, you want me to talk into yours?",
2144063,yes.,where's the cake?,
2219773,why haven't we got the car?,"Daddy's taken it to work, hasn't he?",
2189057,there.,have you don't it properly?,
4243031,I need some.,so is this where the nose goes and then the eyes go here?,
351130,that smelly dirt.,"yeah well that's what happens when you put, put mushrooms and leaves in right?",
2133544,monster!,monster?,
4244482,and.,do these ones go in here?,
2129798,it's not.,isn't it?,
572104,point.,point?,
464492,"Mommy, Mommy, Mommy.",yes?,
4277512,and he's crying.,is there a pig?,
2197548,I can't do it.,do you want me to get it for you?,
466582,Mama.,mhm?,
4246158,I think don't.,do you think they might like to have a name?,
4276868,have yellow hair like our hair.,oh have yellow hair?,
4273706,mustache.,what what does he need?,
4238151,where does it hook?,do you wanna hook them?,
358210,mm.,who loves cheesecake?,
2156887,everything's fallen down.,everything's fallen down?,
4242598,uhuh.,what?,
466015,spindle box.,the spindle box?,
4274406,yeah.,and what's that?,
2133969,yes.,are you?,
342597,mommy?,mhm?,
2195433,I need to sit down.,shall we play tennis?,
461172,Tigger.,Tigger's in it?,
2130179,what's happened to the queen's house?,what's happened to the queen's house?,
2163826,no.,then why are you giving yourself some?,
450535,he wants to cover his head.,he does?,
566506,I'm going to be a turtle.,you wanna be a turtle?,
2184622,"not fitting Abi, is it?",isn't it?,
2158719,I don't want it.,you don't want that bracelet?,
2201737,is this daddy one or mummy one?,"it doesn't matter, does it?",
175632,what's this like?,which comes first the chicken or the egg?,
516836,rock at night time.,maybe but you think they'll miss each other?,
515782,no.,why not?,
338919,what?,where do the grandma and grandpas live?,
4244726,hey.,that's a what is that?,
2170358,I'm not a Teletubby.,have you got a television in your tummy like teletubbies do?,
2171026,no.,what are you talking about?,
2189273,water on me then.,water water on you?,
467343,you can pull this way.,which way?,
565215,mm help.,"oh, you know what?",
343687,red Earth.,what you doing?,
562907,it's great.,"it's great, huh?",
344197,no music.,no music at all?,
